"id","game","event_type","created_at","team_name","player_name","related_player_name","result","minute","extra_minute","previous_player_event","previous_player_event_at","seconds_after_previous_event","player_id","related_player_id","participant_id","fixture_id"
116213644,Romania vs Ukraine (2024-06-17),Substitution,2024-06-17 16:27:00.000,Romania,Bogdan Racovițan,Nicolae Stanciu,,87,0,,,,31616427,62905,18638,19032635
116213524,Romania vs Ukraine (2024-06-17),Substitution,2024-06-17 16:02:00.000,Ukraine,Volodymyr Brazhko,Taras Stepanenko,,62,0,,,,24065258,204483,18624,19032635
116213531,Romania vs Ukraine (2024-06-17),Substitution,2024-06-17 16:02:00.000,Romania,Valentin Mihăilă,Florinel Coman,,62,0,,,,6013442,165479,18638,19032635
116213571,Romania vs Ukraine (2024-06-17),Yellowcard,2024-06-17 16:07:00.000,Ukraine,Yukhym Konoplya,,,67,0,,,,4545319,,18624,19032635
116213583,Romania vs Ukraine (2024-06-17),Substitution,2024-06-17 16:12:00.000,Ukraine,Oleksandr Tymchyk,Yukhym Konoplya,,72,0,,,,206981,4545319,18624,19032635
116213533,Romania vs Ukraine (2024-06-17),Substitution,2024-06-17 16:02:00.000,Ukraine,Roman Yaremchuk,Mykola Shaparenko,,62,0,,,,205933,205964,18624,19032635
116213534,Romania vs Ukraine (2024-06-17),Substitution,2024-06-17 16:02:00.000,Ukraine,Andriy Yarmolenko,Viktor Tsygankov,,62,0,,,,204697,205635,18624,19032635
116213507,Romania vs Ukraine (2024-06-17),Goal,2024-06-17 15:57:00.000,Romania,Denis Drăguș,Dennis Man,"3-0",57,0,,,,165648,165622,18638,19032635
116213593,Romania vs Ukraine (2024-06-17),Substitution,2024-06-17 16:15:00.000,Romania,George Pușcaș,Denis Drăguș,,75,0,,,,130192,165648,18638,19032635
116213525,Romania vs Ukraine (2024-06-17),Substitution,2024-06-17 16:02:00.000,Romania,Ianis Hagi,Dennis Man,,62,0,,,,129857,165622,18638,19032635
116213596,Romania vs Ukraine (2024-06-17),Substitution,2024-06-17 16:15:00.000,Romania,Adrian Rus,Marius Marin,,75,0,,,,116888,133835,18638,19032635
