,Model,Location,Miles,Prices,Year,Scraped_On,Dealership
0, Honda civic LX Sedan 4D,"Newport, KY",82000.0,"$13,900",2016,2024-07-01,False
1, Volkswagen jetta 1.8T SEL Sedan 4D,"Cincinnati, OH",67000.0,"$4,600",2015,2024-07-01,True
2, Toyota corolla LE Sedan 4D,"Fort Mitchell, KY",87000.0,"$13,000",2020,2024-07-01,False
3, Hyundai sonata SE Sedan 4D,"Dayton, OH",110000.0,"$7,499",2016,2024-07-01,False
4, Hyundai elantra SE Sedan 4D,"Louisville, KY",114000.0,"$6,500",2017,2024-07-01,True
5, Hyundai accent SE Sedan 4D,"Cincinnati, OH",100000.0,"$3,975",2017,2024-07-01,False
6, Hyundai elantra SE Sedan 4D,"Dayton, OH",79000.0,"$8,460",2019,2024-07-01,False
7, Hyundai elantra SE Sedan 4D,"West Chester, OH",13000.0,"$5,999",2016,2024-07-01,False
8, Hyundai elantra Limited Sedan 4D,"Cincinnati, OH",142000.0,"$7,900",2020,2024-07-01,False
9, Hyundai sonata SE Sedan 4D,"Cincinnati, OH",123000.0,"$7,500",2016,2024-07-01,False
10, Nissan altima 2.5 SL Sedan 4D,"Hebron, KY",71000.0,"$8,800",2015,2024-07-01,False
11, Hyundai elantra 2017,"Fort Thomas, KY",60000.0,$400,2017,2024-07-01,False
12, Mazda mazda6 i Sport Sedan 4D,"Fort Mitchell, KY",118000.0,"$5,900",2013,2024-07-01,False
13, Volkswagen passat 1.8T S Sedan 4D,"Columbus, OH",137000.0,"$5,500",2016,2024-07-01,True
14, Volkswagen jetta 1.8T Sport Sedan 4D,"Fort Mitchell, KY",138000.0,"$4,500",2015,2024-07-01,False
15, Toyota camry LE Sedan 4D,"Covington, KY",131000.0,"$5,800",2007,2024-07-01,False
16, Hyundai sonata 2.4l i4 fwd,"Cincinnati, OH",137000.0,"$7,995",2016,2024-07-01,False
17, Honda civic EX Sedan 4D,"Cincinnati, OH",92000.0,"$10,800",2015,2024-07-01,False
18, Hyundai sonata Limited Sedan 4D,"Covington, KY",106000.0,"$6,500",2016,2024-07-01,False
19, Toyota corolla,"Cincinnati, OH",104000.0,"$11,500",2015,2024-07-01,False
20, Toyota camry,"Alexandria, KY",132000.0,"$10,988",2012,2024-07-01,False
21, Honda civic DX Sedan 4D,"Cincinnati, OH",80000.0,"$8,400",2012,2024-07-01,False
22, Nissan sentra S Sedan 4D,"Dayton, KY",144000.0,"$5,000",2016,2024-07-01,False
23, Kia optima EX Sedan 4D,"Alexandria, KY",170000.0,"$7,900",2015,2024-07-01,False
24, Hyundai elantra Coupe 2D,"Columbus, OH",134000.0,"$4,500",2014,2024-07-01,False
25, Volkswagen passat Wolfsburg Edition Sedan 4D,"Cincinnati, OH",112000.0,"$3,495",2013,2024-07-01,False
26, Kia rio EX Sedan 4D,"Covington, KY",143000.0,"$3,500",2015,2024-07-01,False
27, Honda civic,"Covington, KY",130000.0,"$6,800",2012,2024-07-01,False
28, Nissan altima 2.5 S Sedan 4D,"Cincinnati, OH",113000.0,"$6,300",2013,2024-07-01,False
29, Nissan versa SV Sedan 4D,"Cincinnati, OH",143000.0,"$4,550",2015,2024-07-01,False
30, Nissan altima 2.5 S Sedan 4D,"Mason, OH",140000.0,"$6,199",2016,2024-07-01,False
31, Hyundai sonata Limited Sedan 4D,"Florence, KY",83000.0,"$4,800",2011,2024-07-01,False
32, Hyundai elantra SE Sedan 4D,"Cincinnati, OH",150000.0,"$3,999",2010,2024-07-01,False
33, Mazda mazda3 s Grand Touring Sedan 4D,"Cincinnati, OH",145000.0,"$6,000",2012,2024-07-01,False
34, Honda accord ex-l,"Covington, KY",155000.0,"$6,900",2009,2024-07-01,False
35, Honda accord ex-l v6,"Lexington, KY",45000.0,"$8,850",2010,2024-07-01,False
36, Nissan leaf S-24 Hatchback 4D,"Fort Thomas, KY",26000.0,"$6,000",2016,2024-07-01,False
