,Unnamed: 0,Model,Location,Miles,Prices,Year,Dealership,Manufacturer,Model_name,Mileage_Category
0,0,Honda civic LX Sedan 4D,"Newport, KY",82000.0,13900,2016,False,Honda,civic LX Sedan 4D,50k-100k
1,1,Volkswagen jetta 1.8T SEL Sedan 4D,"Cincinnati, OH",67000.0,4600,2015,True,Volkswagen,jetta 1.8T SEL Sedan 4D,50k-100k
2,2,Toyota corolla LE Sedan 4D,"Fort Mitchell, KY",87000.0,13000,2020,False,Toyota,corolla LE Sedan 4D,50k-100k
3,3,Hyundai sonata SE Sedan 4D,"Dayton, OH",110000.0,7499,2016,False,Hyundai,sonata SE Sedan 4D,100k-150k
4,4,Hyundai elantra SE Sedan 4D,"Louisville, KY",114000.0,6500,2017,True,Hyundai,elantra SE Sedan 4D,100k-150k
5,5,Hyundai accent SE Sedan 4D,"Cincinnati, OH",100000.0,3975,2017,False,Hyundai,accent SE Sedan 4D,50k-100k
6,6,Hyundai elantra SE Sedan 4D,"Dayton, OH",79000.0,8460,2019,False,Hyundai,elantra SE Sedan 4D,50k-100k
7,7,Hyundai elantra SE Sedan 4D,"West Chester, OH",13000.0,5999,2016,False,Hyundai,elantra SE Sedan 4D,Under 50k
8,8,Hyundai elantra Limited Sedan 4D,"Cincinnati, OH",142000.0,7900,2020,False,Hyundai,elantra Limited Sedan 4D,100k-150k
9,9,Hyundai sonata SE Sedan 4D,"Cincinnati, OH",123000.0,7500,2016,False,Hyundai,sonata SE Sedan 4D,100k-150k
10,10,Nissan altima 2.5 SL Sedan 4D,"Hebron, KY",71000.0,8800,2015,False,Nissan,altima 2.5 SL Sedan 4D,50k-100k
11,11,Hyundai elantra 2017,"Fort Thomas, KY",60000.0,400,2017,False,Hyundai,elantra 2017,50k-100k
12,12,Mazda mazda6 i Sport Sedan 4D,"Fort Mitchell, KY",118000.0,5900,2013,False,Mazda,mazda6 i Sport Sedan 4D,100k-150k
13,13,Volkswagen passat 1.8T S Sedan 4D,"Columbus, OH",137000.0,5500,2016,True,Volkswagen,passat 1.8T S Sedan 4D,100k-150k
14,14,Volkswagen jetta 1.8T Sport Sedan 4D,"Fort Mitchell, KY",138000.0,4500,2015,False,Volkswagen,jetta 1.8T Sport Sedan 4D,100k-150k
15,15,Toyota camry LE Sedan 4D,"Covington, KY",131000.0,5800,2007,False,Toyota,camry LE Sedan 4D,100k-150k
16,16,Hyundai sonata 2.4l i4 fwd,"Cincinnati, OH",137000.0,7995,2016,False,Hyundai,sonata 2.4l i4 fwd,100k-150k
17,17,Honda civic EX Sedan 4D,"Cincinnati, OH",92000.0,10800,2015,False,Honda,civic EX Sedan 4D,50k-100k
18,18,Hyundai sonata Limited Sedan 4D,"Covington, KY",106000.0,6500,2016,False,Hyundai,sonata Limited Sedan 4D,100k-150k
19,19,Toyota corolla,"Cincinnati, OH",104000.0,11500,2015,False,Toyota,corolla,100k-150k
20,20,Toyota camry,"Alexandria, KY",132000.0,10988,2012,False,Toyota,camry,100k-150k
21,21,Honda civic DX Sedan 4D,"Cincinnati, OH",80000.0,8400,2012,False,Honda,civic DX Sedan 4D,50k-100k
22,22,Nissan sentra S Sedan 4D,"Dayton, KY",144000.0,5000,2016,False,Nissan,sentra S Sedan 4D,100k-150k
23,23,Kia optima EX Sedan 4D,"Alexandria, KY",170000.0,7900,2015,False,Kia,optima EX Sedan 4D,Over 150k
24,24,Hyundai elantra Coupe 2D,"Columbus, OH",134000.0,4500,2014,False,Hyundai,elantra Coupe 2D,100k-150k
25,25,Volkswagen passat Wolfsburg Edition Sedan 4D,"Cincinnati, OH",112000.0,3495,2013,False,Volkswagen,passat Wolfsburg Edition Sedan 4D,100k-150k
26,26,Kia rio EX Sedan 4D,"Covington, KY",143000.0,3500,2015,False,Kia,rio EX Sedan 4D,100k-150k
27,27,Honda civic,"Covington, KY",130000.0,6800,2012,False,Honda,civic,100k-150k
28,28,Nissan altima 2.5 S Sedan 4D,"Cincinnati, OH",113000.0,6300,2013,False,Nissan,altima 2.5 S Sedan 4D,100k-150k
29,29,Nissan versa SV Sedan 4D,"Cincinnati, OH",143000.0,4550,2015,False,Nissan,versa SV Sedan 4D,100k-150k
30,30,Nissan altima 2.5 S Sedan 4D,"Mason, OH",140000.0,6199,2016,False,Nissan,altima 2.5 S Sedan 4D,100k-150k
31,31,Hyundai sonata Limited Sedan 4D,"Florence, KY",83000.0,4800,2011,False,Hyundai,sonata Limited Sedan 4D,50k-100k
32,32,Hyundai elantra SE Sedan 4D,"Cincinnati, OH",150000.0,3999,2010,False,Hyundai,elantra SE Sedan 4D,100k-150k
33,33,Mazda mazda3 s Grand Touring Sedan 4D,"Cincinnati, OH",145000.0,6000,2012,False,Mazda,mazda3 s Grand Touring Sedan 4D,100k-150k
34,34,Honda accord ex-l,"Covington, KY",155000.0,6900,2009,False,Honda,accord ex-l,Over 150k
35,35,Honda accord ex-l v6,"Lexington, KY",45000.0,8850,2010,False,Honda,accord ex-l v6,Under 50k
36,36,Nissan leaf S-24 Hatchback 4D,"Fort Thomas, KY",26000.0,6000,2016,False,Nissan,leaf S-24 Hatchback 4D,Under 50k
37,37,Mitsubishi mirage g4 ES Sedan 4D,"Cincinnati, OH",113000.0,4000,2017,False,Mitsubishi,mirage g4 ES Sedan 4D,100k-150k
38,38,Scion Hatchback Coupe 2D,"Covington, KY",113000.0,7200,2014,False,Scion,Hatchback Coupe 2D,100k-150k
39,39,Honda accord se,"Covington, KY",159000.0,5950,2011,False,Honda,accord se,Over 150k
40,40,Nissan altima 2.5 S Sedan 4D,"Cincinnati, OH",75000.0,16000,2020,False,Nissan,altima 2.5 S Sedan 4D,50k-100k
41,41,Toyota camry   !!!down payment!!!,"Cincinnati, OH",131000.0,3500,2017,False,Toyota,camry   !!!down payment!!!,100k-150k
42,42,Nissan altima 2.5 Sedan 4D,"Fort Thomas, KY",159000.0,5000,2012,False,Nissan,altima 2.5 Sedan 4D,Over 150k
43,43,Hyundai sonata Limited Sedan 4D,"Cincinnati, OH",147000.0,4200,2011,False,Hyundai,sonata Limited Sedan 4D,100k-150k
44,44,Honda accord EX-L Sedan 4D,"Cincinnati, OH",140000.0,5990,2011,False,Honda,accord EX-L Sedan 4D,100k-150k
45,45,Nissan altima 2.5l l4 fwd,"Cincinnati, OH",82000.0,11993,2018,False,Nissan,altima 2.5l l4 fwd,50k-100k
46,46,Hyundai elantra,"Cincinnati, OH",136000.0,1500,2016,False,Hyundai,elantra,100k-150k
47,47,Toyota prius ii,"Covington, KY",182000.0,6950,2012,False,Toyota,prius ii,Over 150k
48,48,Kia forte EX Sedan 4D,"Cincinnati, OH",142000.0,4900,2014,False,Kia,forte EX Sedan 4D,100k-150k
49,49,Chevrolet cruze LS Sedan 4D,"Florence, KY",137000.0,4000,2013,False,Chevrolet,cruze LS Sedan 4D,100k-150k
50,50,Hyundai elantra,"Cincinnati, OH",77000.0,1000,2017,False,Hyundai,elantra,50k-100k
51,51,Chevrolet cruze LT Sedan 4D,"Cincinnati, OH",95000.0,7200,2017,False,Chevrolet,cruze LT Sedan 4D,50k-100k
52,52,Honda civic,"Lebanon, OH",109000.0,6450,2007,False,Honda,civic,100k-150k
53,53,Toyota camry SE Sedan 4D,"Florence, KY",168000.0,5500,2007,False,Toyota,camry SE Sedan 4D,Over 150k
54,54,Honda accord EX,"Cincinnati, OH",130000.0,12875,2019,False,Honda,accord EX,100k-150k
55,55,Honda accord Sport Sedan 4D,"Fairfield, OH",147000.0,9500,2017,False,Honda,accord Sport Sedan 4D,100k-150k
56,56,Toyota camry SE Sedan 4D,"Latonia, KY",148000.0,6000,2009,False,Toyota,camry SE Sedan 4D,100k-150k
57,57,Toyota camry Sedan 4D,"Mason, OH",180000.0,4100,2009,False,Toyota,camry Sedan 4D,Over 150k
58,58,Toyota camry LE Sedan 4D,"Cincinnati, OH",160000.0,5000,2010,False,Toyota,camry LE Sedan 4D,Over 150k
59,59,Hyundai elantra GT Hatchback 4D,"Cincinnati, OH",180000.0,3999,2014,True,Hyundai,elantra GT Hatchback 4D,Over 150k
60,60,Volkswagen 2.0 convertable,"Cincinnati, OH",103000.0,12995,2013,False,Volkswagen,2.0 convertable,100k-150k
61,61,Honda civic Sport,"Cincinnati, OH",10000.0,1234,2024,False,Honda,civic Sport,Under 50k
62,62,Mazda mazda3 s Touring Sedan 4D,"Newport, KY",181000.0,3600,2007,False,Mazda,mazda3 s Touring Sedan 4D,Over 150k
63,63,Nissan altima 3.5 SR Sedan 4D,"Cincinnati, OH",125000.0,5400,2012,False,Nissan,altima 3.5 SR Sedan 4D,100k-150k
64,64,Kia rio EX Sedan 4D,"West Chester, OH",144000.0,3500,2015,False,Kia,rio EX Sedan 4D,100k-150k
65,65,Toyota camry XLE Sedan 4D,"Fort Mitchell, KY",204000.0,2500,2004,False,Toyota,camry XLE Sedan 4D,Over 150k
66,66,Nissan altima !!!down payment!!!,"Cincinnati, OH",105000.0,4000,2019,False,Nissan,altima !!!down payment!!!,100k-150k
67,67,Toyota corolla,"Cincinnati, OH",90000.0,6800,2006,False,Toyota,corolla,50k-100k
68,68,Hyundai sonata SE Sedan 4D,"Bellevue, KY",86000.0,1800,2015,False,Hyundai,sonata SE Sedan 4D,50k-100k
69,69,Volkswagen new beetle SE Convertible 2D,"Cincinnati, OH",141000.0,9000,2008,False,Volkswagen,new beetle SE Convertible 2D,100k-150k
70,70,Hyundai elantra SE Sedan 4D,"Cincinnati, OH",66000.0,7800,2015,False,Hyundai,elantra SE Sedan 4D,50k-100k
